gene,pval_spark,qval_spark,pval_spatialde,qval_spatialde,FSV,l,sig_spark,sig_spatialde,agreement
RARRES1,9.86100090472064e-13,1.1574416417881802e-09,6.608628484305878e-05,0.0146483668610752,0.1687585079948429,0.252212021085435,True,True,True
RPL35,1.4447332219447198e-12,1.6553900115487e-09,0.0227463131561153,0.6566313316203145,0.121315697481406,0.0877349947292727,True,False,False
ANTXR1,1.9200196987867498e-12,2.14881580692719e-09,7.906960960424314e-07,0.0004419647395965,0.2065433935615082,0.1487542279755095,True,True,True
CTSD,2.73936429096011e-12,2.9961191118112804e-09,0.002811277692412,0.2113554737640328,0.1631945234112109,0.1487542279755095,True,False,False
PPP1R1B,3.07220915374273e-12,3.2854905791339805e-09,0.0019269968261069,0.1696813095645977,0.1531178955683325,0.1487542279755095,True,False,False
RPS5,3.36541905454624e-12,3.5208155918382305e-09,0.1030804190500216,0.974739246369655,0.0951918870410319,0.0877349947292727,True,False,False
TNC,3.69160257918111e-12,3.77988897764795e-09,5.804619306526426e-05,0.0135680337826734,0.1786138868554311,0.1487542279755095,True,True,True
COL5A2,8.29247781553022e-12,8.313904702971711e-09,2.8285286582940827e-06,0.0010695166009126,0.27204041152964,0.1487542279755095,True,True,True
AGT,1.0118350601828799e-11,9.93746483445293e-09,1.0455786377816525e-06,0.0004963914535089,0.2077098047615858,0.1487542279755095,True,True,True
CST4,1.2092882251124599e-11,1.16391638232115e-08,0.001449578566908,0.1417311844653553,0.1332307561422936,0.1487542279755095,True,False,False
SPINT2,2.4199975356964397e-11,2.28352993309063e-08,0.000278770584519,0.0421632309950275,0.2121525586611866,0.0877349947292727,True,True,True
HLA-DRA,4.4408032806586594e-11,4.10979493627293e-08,0.0011069914570244,0.1176155551364127,0.0888347727693611,0.252212021085435,True,False,False
RPL3,4.7884807230502695e-11,4.34794292996465e-08,0.2105167878277638,0.974739246369655,0.0365449615869835,0.252212021085435,True,False,False
IGFBP5,8.83759732062117e-11,7.8759402127368e-08,7.345407654479885e-05,0.0154807476731136,0.2383587559241527,0.0877349947292727,True,True,True
HLA-C,9.028378045172759e-11,7.89967105844656e-08,0.0752047393899321,0.974739246369655,0.0539209818000866,0.1487542279755095,True,False,False
ANXA2,1.52849066736849e-10,1.31352010793797e-07,0.0025455898737322,0.1995494110774471,0.1089988670658984,0.1487542279755095,True,False,False
MAFB,1.66160862846709e-10,1.40286488403176e-07,0.0001025120531195,0.0196700739537969,0.176199373664463,0.1487542279755095,True,True,True
COL5A1,1.72058811642728e-10,1.42761429063705e-07,9.56384766159779e-07,0.00049181130215,0.2117658044130299,0.1487542279755095,True,True,True
